Email,Time(s),Result
piano_course_shop_domain_spam.eml,1.080742460,CAUGHT
portuguese_black_card_eligibility_scam.eml,1.176027027,CAUGHT
portuguese_signature_phishing.eml,.975321731,CAUGHT
product_demo_notification_spam.eml,.866975824,CAUGHT
professor_tee_clothing_scam_spam.eml,1.366722257,CAUGHT
prostate_health_spam.eml,1.113137127,CAUGHT
prostate_toxin_ancient_fix_spam.eml,.721029851,CAUGHT
rates_offer_unicode_arrows_agriculture_spam.eml,1.039802168,CAUGHT
Reduce_Your_Debt_with_Our_Expert_Debt_Relief_Solutions.eml,.923832661,CAUGHT
refinance_spam.eml,.912743212,CAUGHT
restaurant_spam_microsoft_compromise.eml,.973324129,CAUGHT
⌯_⌯Revolutionize Your Financial Situation.eml,.845411275,CAUGHT
𝚛𝚎_𝚢𝚘𝚞𝚛_𝚌𝚛𝚎𝚍𝚒𝚝_𝚌𝚊𝚛𝚍_𝚋𝚒𝚕𝚕.eml,.867090836,CAUGHT
sbi_phishing.eml,1.084433922,CAUGHT
schwab_phishing_fake_domain.eml,1.360231972,CAUGHT
screenshot_spam.eml,1.263899330,CAUGHT
Secure_my_connection_vpn_offer.eml,.802871300,CAUGHT
security_camera_light_socket_spam.eml,1.742995231,CAUGHT
sexual_health_spam_za_com.eml,1.153311391,CAUGHT
sharefile_document_phishing.eml,27.432887602,CAUGHT
shed_building_scam.eml,1.376504615,CAUGHT
soda-water-spam.eml,1.119641845,CAUGHT
spanish_autopay_calendar_scam.eml,1.259192480,CAUGHT
stanford_nerve_damage_spam.eml,1.080888554,CAUGHT
stanford_weight_loss_spam.eml,1.174941901,CAUGHT
stanley_tools_fake_confirmation_spam.eml,1.248001834,CAUGHT
stanley_tools_shipment_queued_spam.eml,.921166453,CAUGHT
starbucks_yeti_giveaway_scam.eml,1.074814474,CAUGHT
state_farm_fire_kit_brand_impersonation_spam.eml,1.000802469,CAUGHT
Stay_Warm_in_Style_Solana_Heated_Vest_-_Your_Winter_Essential_.eml,1.049309643,CAUGHT
Still_Time_to_Gift_Better_Sleep_b_Holiday_Shipping_Ends_Soon.eml,.719212962,CAUGHT
storage_upgrade_unicode_phishing.eml,1.084258611,CAUGHT
synoshi_cleaning_help_domain.eml,.747658119,CAUGHT
Talk_to_an_Experienced_Licensed_Insurance_Agent_.eml,.937144873,CAUGHT
teaspoon_dosage_health_spam.eml,1.144044828,CAUGHT
test_aaa_kit_spam.eml,1.111297333,CAUGHT
test_blood_pressure_spam.eml,1.153429178,CAUGHT
test_chinese_mastercard_spam.eml,2.499006557,CAUGHT
test_eyesight_spam.eml,1.039587375,CAUGHT
test_mascara_spam.eml,1.030597147,CAUGHT
test_septic_spam.eml,1.243697806,CAUGHT
timeshare_exit_travel_scam_spam.eml,.926084879,CAUGHT
tinnitus_spam.eml,1.129832298,CAUGHT
titan_health_ring_product_spam.eml,1.288140049,CAUGHT
tmobile_tech_upgrade_space_domain_spam.eml,1.215662096,CAUGHT
toenail_fungus_health_spam.eml,1.131454405,CAUGHT
toilet_cleaner_10_year_product_spam.eml,1.061300976,CAUGHT
trevor_spam.eml,.999360217,CAUGHT
triple_a_car_kit_pl_domain_1.eml,1.394134543,CAUGHT
triple_a_car_kit_pl_domain_2.eml,.953890526,CAUGHT
ukrainian_dating_spam.eml,1.197550068,CAUGHT
ukrainian_romance_scam_spam.eml,1.242139004,CAUGHT
unicode_warranty_scam.eml,1.065118394,CAUGHT
unitedhealthcare_brand_impersonation_spam.eml,.869812067,CAUGHT
unsolicited_web_development_spam.eml,1.050149460,CAUGHT
𝘜𝘱𝘨𝘳𝘢𝘥𝘦_𝘠𝘰𝘶𝘳_𝘍𝘭𝘰𝘰𝘳𝘴_𝘧𝘰𝘳_𝘜𝘱_𝘵𝘰_𝟧𝟢_𝘖𝘧𝘧._.eml,1.033679186,CAUGHT
usa_today_veterans_affairs_impersonation_spam.eml,1.203840864,CAUGHT
usps_giveaway_pl_domain.eml,.965663392,CAUGHT
venmo_750_reward_eligibility_spam.eml,1.063304483,CAUGHT
Vintage-Inspired Ceramic Christmas Tree Night Light.eml,1.175071744,CAUGHT
vision_ritual_health_spam.eml,1.141405497,CAUGHT
walmart_order_phishing_scam.eml,.555299316,CAUGHT
weight_loss_diet_spam.eml,1.046073850,CAUGHT
wetransfer_brand_impersonation.eml,.977470907,CAUGHT
wetransfer_conflicting_dkim.eml,.767545972,CAUGHT
woodworking_plans_spam.eml,1.095206639,CAUGHT
yelsen_finance_loan_spam.eml,.849174789,CAUGHT
yeti_brand_impersonation_google_workspace.eml,.952168303,CAUGHT
⤍. 𝘆𝗼𝘂𝗿_𝗰𝗿𝗲𝗱𝗶𝘁-𝗰𝗮𝗿𝗱_𝗯𝗶𝗹𝗹.eml,1.031514623,CAUGHT
Your_payment_method_was_declined.eml,.835342480,CAUGHT
zoomcare_spam.eml,.597940644,CAUGHT
